date,post_id,likes,comments,shares,content
2025-01-05,post_001,120,15,5,"Bài viết A - Giới thiệu sản phẩm"
2025-01-12,post_002,300,40,25,"Bài viết B - Kinh nghiệm học tập"
2025-01-20,post_003,45,3,1,"Bài viết C - Mẹo nhỏ"
2025-02-03,post_004,50,5,0,"Bài viết D - Tin tức"
2025-02-10,post_005,380,58,30,"Bài viết E - Chia sẻ chuyên môn"
2025-02-20,post_006,400,60,10,"Bài viết F - Thảo luận"
2025-03-01,post_007,15,1,0,"Bài viết G - Ảnh hài hước"
2025-03-07,post_008,220,30,12,"Bài viết H - Hướng dẫn kỹ thuật"
2025-03-18,post_009,90,8,2,"Bài viết I - Câu hỏi nhanh"
2025-03-25,post_010,10,0,0,"Bài viết J - Ghi chú cá nhân"
2025-04-02,post_011,340,45,20,"Bài viết K - Case study"
2025-04-11,post_012,65,4,1,"Bài viết L - Trích dẫn"
2025-04-20,post_013,200,22,7,"Bài viết M - Tổng kết"
2025-05-05,post_014,90,10,3,"Bài viết N - Lời khuyên"
2025-05-12,post_015,150,20,8,"Bài viết O - So sánh công cụ"
2025-05-20,post_016,30,2,1,"Bài viết P - Câu chuyện ngắn"
2025-06-01,post_017,560,120,50,"Bài viết Q - Viral nội dung"
2025-06-10,post_018,75,6,2,"Bài viết R - Cập nhật"
2025-06-18,post_019,45,3,0,"Bài viết S - Thăm dò ý kiến"
2025-06-30,post_020,410,70,22,"Bài viết T - Phỏng vấn"
2025-07-03,post_021,30,2,1,"Bài viết U - Hình ảnh"
2025-07-12,post_022,120,12,4,"Bài viết V - Mini case"
2025-07-20,post_023,25,1,0,"Bài viết W - Câu hỏi ngắn"
2025-07-28,post_024,480,80,40,"Bài viết X - Hướng dẫn chi tiết"
2025-08-02,post_025,150,18,6,"Bài viết Y - Checklist"
2025-08-11,post_026,95,9,3,"Bài viết Z - Mẹo lập trình"
2025-08-19,post_027,320,40,15,"Bài viết AA - Review sản phẩm"
2025-08-25,post_028,60,5,1,"Bài viết AB - Tâm sự"
2025-09-01,post_029,410,70,22,"Bài viết AC - Họp nhóm"
2025-09-05,post_030,15,0,0,"Bài viết AD - Lời chúc"
2025-09-07,post_031,260,35,14,"Bài viết AE - Hướng dẫn ngắn"
2025-09-09,post_032,5,0,0,"Bài viết AF - Thông báo nhỏ"
2025-09-10,post_033,520,110,45,"Bài viết AG - Nội dung viral 1"
2025-09-12,post_034,80,7,2,"Bài viết AH - Lời khuyên nhanh"
2025-09-13,post_035,210,25,9,"Bài viết AI - Kinh nghiệm"
2025-09-14,post_036,35,2,0,"Bài viết AJ - Hình ảnh hài"
2025-09-15,post_037,95,8,3,"Bài viết AK - Tài liệu tham khảo"
2025-09-15,post_038,5,0,0,"Bài viết AL - Ghi chú"
2025-09-15,post_039,999,200,80,"Bài viết AM - Chiến dịch lớn"
2025-09-15,post_040,0,0,0,"Bài viết AN - Bản nháp"
